model,dataset,iteration,timestamp,mean_score,std_score,min_score,max_score,training_loss
Qwen2.5-1.5B-Instruct,webglm,1,2026-03-30T05:09:31,5.6,1.541,3.0,8.0,2.4921
Qwen2.5-1.5B-Instruct,webglm,2,2026-03-30T05:44:37,0.133,0.34,0.0,1.0,2.6767
Qwen2.5-1.5B-Instruct,webglm,3,2026-03-30T06:20:11,0.133,0.499,0.0,2.0,2.6443
Qwen2.5-1.5B-Instruct,yelp,1,2026-03-30T06:52:48,6.667,2.119,2.0,9.0,2.7727
Qwen2.5-1.5B-Instruct,yelp,2,2026-03-30T07:29:45,2.533,2.705,0.0,10.0,7.6303
Qwen2.5-1.5B-Instruct,yelp,3,2026-03-30T08:07:31,2.867,2.63,0.0,10.0,7.7501
Qwen2.5-1.5B-Instruct,xsum,1,2026-03-30T08:24:19,5.467,2.187,3.0,10.0,2.6965
Qwen2.5-1.5B-Instruct,xsum,2,2026-03-30T09:00:19,0.8,0.98,0.0,2.0,3.5489
Qwen2.5-1.5B-Instruct,xsum,3,2026-03-30T09:36:52,0.533,0.884,0.0,2.0,3.5683
phi-2,webglm,1,2026-03-30T09:52:00,5.533,1.962,2.0,8.0,2.2834
phi-2,webglm,2,2026-03-30T10:16:19,1.4,1.925,0.0,7.0,2.3227
phi-2,webglm,3,2026-03-30T10:45:17,0.667,1.135,0.0,3.0,2.2944
phi-2,yelp,1,2026-03-30T11:05:04,7.333,1.578,3.0,9.0,2.7285
phi-2,yelp,2,2026-03-30T11:32:47,5.667,2.44,1.0,8.0,4.8079
phi-2,yelp,3,2026-03-30T12:02:36,5.2,2.344,1.0,7.0,4.842
phi-2,xsum,1,2026-03-30T12:19:27,6.133,2.156,3.0,9.0,2.7031
phi-2,xsum,2,2026-03-30T12:46:53,2.067,1.34,0.0,5.0,3.0359
phi-2,xsum,3,2026-03-30T13:11:47,2.267,2.081,0.0,8.0,2.8979
TinyLlama-1.1B-Chat-v1.0,webglm,1,2026-03-30T13:26:45,4.733,1.289,2.0,6.0,2.2398
TinyLlama-1.1B-Chat-v1.0,webglm,2,2026-03-30T13:52:50,0.0,0.0,0.0,0.0,2.3035
TinyLlama-1.1B-Chat-v1.0,webglm,3,2026-03-30T14:19:03,0.0,0.0,0.0,0.0,2.3358
TinyLlama-1.1B-Chat-v1.0,yelp,1,2026-03-30T14:36:45,7.267,1.843,2.0,10.0,2.4101
TinyLlama-1.1B-Chat-v1.0,yelp,2,2026-03-30T15:04:01,1.533,1.5,0.0,4.0,7.8998
TinyLlama-1.1B-Chat-v1.0,yelp,3,2026-03-30T15:30:32,1.867,1.893,0.0,7.0,7.8921
TinyLlama-1.1B-Chat-v1.0,xsum,1,2026-03-30T15:38:38,5.933,2.351,3.0,10.0,2.333
TinyLlama-1.1B-Chat-v1.0,xsum,2,2026-03-30T16:05:22,0.267,0.68,0.0,2.0,2.9682
TinyLlama-1.1B-Chat-v1.0,xsum,3,2026-03-30T16:32:22,0.4,0.8,0.0,2.0,2.8824
